Phone Model,Release Date
iphone  ,2007-06-29
iphone 4,2010-06-24
iPhone 4s ,2011-10-14
iPhone 5 ,2012-09-21
iPhone 5s ,2013-09-20
iPhone 5c ,2013-09-20
iPhone 6 & iPhone 6 Plus,2014-09-25
iPhone 6s & 6s Plus ,2022-09-25
iPhone 6s & 6s Plus ,2015-09-25
iPhone SE,2016-03-31
iPhone 7 & 7 Plus ,2016-09-25
iPhone 8 & 8 Plus ,2017-09-22
iPhone X Release ,2017-11-03
iPhone XR Release ,2018-10-26
iPhone XS Release ,2018-09-21
iPhone XS Max Release ,2018-09-21
iPhone 11 Release ,2019-09-20
iPhone 11 Pro Release ,2019-09-20
iPhone 11 Pro Max Release ,2019-09-20
iPhone SE (2020) Release ,2020-04-24
iPhone 12 Release ,2020-10-23
iPhone 12 Mini Release ,2020-11-13
iPhone 12 Pro Release ,2020-11-13
iPhone 12 Pro Max Release ,2020-11-13
iPhone 13 Release ,2021-09-24
iPhone 13 Mini Release ,2021-09-24
iPhone 13 Pro Release ,2021-09-24
iPhone 13 Pro Max Release ,2021-09-24
iPhone SE 3 ,2022-03-08
iPhone 14 ,2022-09-16
iPhone 14 Plus,2022-09-16
iPhone 14 Pro ,2022-09-16
iPhone 14 Pro Max ,2022-09-16
