Phone Model,Release Date,Year
Samsung Galaxy S I9000,2010-06-01,2010
Samsung I9008 Galaxy S,2010-06-01,2010
Samsung Galaxy S M110S,2010-07-01,2010
Samsung Galaxy S I909,2010-10-01,2010
Samsung Galaxy S Hoppin M190S,2010-11-01,2010
Samsung Galaxy S 4G T959,2011-02-01,2011
Samsung Galaxy SL I9003,2011-02-01,2011
Samsung Galaxy S2 I9100,2011-04-01,2011
Samsung Galaxy S WiFi 5.0,2011-05-01,2011
Samsung Galaxy S Plus I9001,2011-07-01,2011
Samsung Galaxy S2 4G I9100M,2011-07-01,2011
Samsung Galaxy S2 Epic 4G Touch,2011-09-01,2011
Samsung Galaxy S2 I9100G,2011-09-01,2011
Samsung Galaxy S2 T989,2011-10-01,2011
Samsung Galaxy S2 X T989D,2011-10-01,2011
Samsung Galaxy S2 I777,2011-10-01,2011
Samsung Galaxy S2 LTE I9210,2011-11-01,2011
Samsung Galaxy S2 LTE i727R,2011-11-01,2011
Samsung Galaxy S2 Skyrocket i727,2011-11-01,2011
Samsung Galaxy S2 HD LTE,2011-12-01,2011
Samsung Galaxy S2 Skyrocket HD I757,2012-01-01,2012
Samsung Galaxy S Blaze 4G T769,2012-03-01,2012
Samsung Galaxy S Advance I9070,2012-04-01,2012
Samsung Galaxy S3 I9300,2012-05-01,2012
Samsung Galaxy S III T999 T-Mobile,2012-07-01,2012
Samsung Galaxy S3 CDMA SGH-I535 Verizon,2012-07-01,2012
Samsung Galaxy S3 CDMA SPH-L710 Sprint,2012-07-01,2012
Samsung Galaxy S3 I747 AT&T,2012-07-01,2012
Samsung Galaxy S Lightray 4G R940,2012-08-01,2012
Samsung Galaxy S Duos S7562,2012-09-01,2012
Samsung Galaxy S Relay 4G T699,2012-09-01,2012
Samsung Galaxy S3 I9305,2012-09-01,2012
Samsung Galaxy S3 Mini I8190,2012-11-01,2012
Samsung Galaxy S2 Plus I9105,2013-02-01,2013
Samsung Galaxy S4 I9502,2013-04-01,2013
Samsung Galaxy S4 I9500,2013-04-01,2013
Samsung Galaxy S4 I9505,2013-04-01,2013
